Exchange,Name,Trading_symbol,isin
BSE,CARYSIL LIMITED,CARYSIL,INE482D01024
BSE,CASTROL INDIA LTD.,CASTROLIND,INE172A01027
BSE,CCL PRODUCTS (INDIA) LTD.,CCL,INE421D01022
BSE,CEAT LTD.,CEATLTD,INE482A01020
BSE,CELEBRITY FASHIONS LTD.,CELEBRITY,INE185H01016
BSE,CENTRAL BANK OF INDIA,CENTRALBK,INE483A01010
BSE,CENTRUM CAPITAL LTD.,CENTRUM,INE660C01027
BSE,CENTUM ELECTRONICS LTD.,CENTUM,INE320B01020
BSE,CENTURY ENKA LTD.,CENTENKA,INE485A01015
BSE,CENTURY EXTRUSIONS LTD.,CENTEXT,INE281A01026
BSE,CENTURY PLYBOARDS (I) LTD.,CENTURYPLY,INE348B01021
BSE,CERA SANITARYWARE LTD.,CERA,INE739E01017
BSE,CEREBRA INTEGRATED TECHNOLOGIE,CEREBRAINT,INE345B01019
BSE,CESC LTD.,CESC,INE486A01021
BSE,CG Power and Industrial Soluti,CGPOWER,INE067A01029
BSE,CHAMBAL FERTILISERS & CHEMICAL,CHAMBLFERT,INE085A01013
BSE,CHENNAI PETROLEUM CORPORATION,CHENNPETRO,INE178A01016
BSE,CHOLAMANDALAM FINANCIAL HOLDIN,CHOLAHLDNG,INE149A01033
BSE,CHOLAMANDALAM INVESTMENT AND F,CHOLAFIN,INE121A01024
BSE,CIE Automotive India Limited,CIEINDIA,INE536H01010
BSE,CINELINE INDIA LIMITED,CINELINE,INE704H01022
BSE,CIPLA LTD.,CIPLA,INE059A01026
BSE,CITY UNION BANK LTD.,CUB,INE491A01021
BSE,CL Educate Limited,CLEDUCATE,INE201M01029
BSE,COAL INDIA LTD.,COALINDIA,INE522F01014
BSE,COLGATE-PALMOLIVE (INDIA) LTD.,COLPAL,INE259A01022
BSE,COMPUCOM SOFTWARE LTD.,COMPUSOFT,INE453B01029
BSE,CONFIDENCE PETROLEUM INDIA LTD,CONFIPET,INE552D01024
BSE,CONTAINER CORPORATION OF INDIA,CONCOR,INE111A01025
BSE,CONTROL PRINT LTD.,CONTROLPR,INE663B01015
BSE,CORAL INDIA FINANCE & HOUSING,CORALFINAC,INE558D01021
BSE,CORDS CABLE INDUSTRIES LTD.,CORDSCABLE,INE792I01017
BSE,COROMANDEL INTERNATIONAL LTD.,COROMANDEL,INE169A01031
BSE,COUNTRY CLUB HOSPITALITY AND H,CCHHL,INE652F01027
BSE,COUNTRY CONDOS LTD.,COUNCODOS,INE695B01025
BSE,CP CAPITAL LIMITED,CPCAP,INE521J01018
BSE,CPSE ETF,CPSEETF,INF457M01133
BSE,CREATIVE EYE LTD.,CREATIVEYE,INE230B01021
BSE,CREST,CREST,INE559D01011
BSE,CRISIL LTD.,CRISIL,INE007A01025
BSE,CSB Bank Limited,CSBBANK,INE679A01013
BSE,CUMMINS INDIA LTD.,CUMMINSIND,INE298A01020
BSE,CYBER MEDIA (INDIA) LTD.,CYBERMEDIA,INE278G01037
BSE,CYBERTECH SYSTEMS AND SOFTWARE,CYBERTECH,INE214A01019
BSE,CYIENT LIMITED,CYIENT,INE136B01020
BSE,Camlin Fine Sciences Ltd,CAMLINFINE,INE052I01032
BSE,Capacit'e Infraprojects Limite,CAPACITE,INE264T01014
BSE,Cemindia Projects Limited,CEMPRO,INE686A01026
BSE,Chalet Hotels Limited,CHALET,INE427F01016
BSE,Chembond Material Technologies,CHEMBOND,INE995D01025
BSE,Chemcon Speciality Chemicals L,CHEMCON,INE03YM01018
BSE,Chemplast Sanmar Limited,CHEMPLASTS,INE488A01050
BSE,Clean Science and Technology L,CLEAN,INE227W01023
BSE,Coffee Day Enterprises Limited,COFFEEDAY,INE335K01011
BSE,Cohance Lifesciences Limited,COHANCE,INE03QK01018
BSE,Computer Age Management Servic,CAMS,INE596I01012
BSE,Concord Control Systems Limite,CNCRD,INE0N0J01014
BSE,Craftsman Automation Limited,CRAFTSMAN,INE00LO01017
BSE,Creative Castings Limited,CREATIVE,INE146E01015
BSE,CreditAccess Grameen Ltd.,CREDITACC,INE741K01010
BSE,Crompton Greaves Consumer Elec,CROMPTON,INE299U01018
BSE,D B CORP LTD,DBCORP,INE950I01011
BSE,D-LINK (INDIA) LTD,DLINKINDIA,INE250K01012
BSE,DABUR INDIA LTD.,DABUR,INE016A01026
BSE,DALMIA BHARAT LIMITED,DALBHARAT,INE00R701025
BSE,DALMIA BHARAT SUGAR AND INDUST,DALMIASUG,INE495A01022
BSE,DATAMATICS GLOBAL SERVICES LTD,DATAMATICS,INE365B01017
BSE,DB (INTERNATIONAL) STOCK BROKE,DBSTOCKBRO,INE921B01025
BSE,DCB BANK LIMITED,DCBBANK,INE503A01015
BSE,DCM FINANCIAL SERVICES LTD.,DCMFINSERV,INE891B01012
BSE,DCM LTD.,DCM,INE498A01018
BSE,DCM NOUVELLE LIMITED,DCMNVL,INE08KP01019
BSE,DCM SHRIRAM INDUSTRIES LTD.,DCMSRIND,INE843D01027
BSE,DCM SHRIRAM LIMITED,DCMSHRIRAM,INE499A01024
BSE,DCW LTD.,DCW,INE500A01029
BSE,DE NORA INDIA LTD.,DENORA,INE244A01016
BSE,DECCAN CEMENTS LTD.,DECCANCE,INE583C01021
BSE,DEEPAK CHEMTEX LIMITED,DEEPAKCHEM,INE0RDM01013
BSE,DEEPAK FERTILISERS & PETROCHEM,DEEPAKFERT,INE501A01019
BSE,DEEPAK NITRITE LTD.,DEEPAKNTR,INE288B01029
BSE,DELTA CORP LTD.,DELTACORP,INE124G01033
BSE,DELTA MANUFACTURING LIMITED,DELTAMAGNT,INE393A01011
BSE,DEN NETWORKS LTD,DEN,INE947J01015
BSE,DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,INE041A01016
BSE,DHANLAXMI BANK LIMITED,DHANBANK,INE680A01011
BSE,DHANUKA AGRITECH LTD.,DHANUKA,INE435G01025
BSE,DHUNSERI INVESTMENTS LTD.,DHUNINV,INE320L01011
BSE,DIC INDIA LTD.,DICIND,INE303A01010
BSE,DIGISPICE TECHNOLOGIES LIMITED,DIGISPICE,INE927C01020
BSE,DISH TV INDIA LTD.,DISHTV,INE836F01026
BSE,DIVIS LABORATORIES LTD.,DIVISLAB,INE361B01024
BSE,DLF LTD.,DLF,INE271C01023
BSE,DONEAR INDUSTRIES LTD.,DONEAR,INE668D01028
BSE,DREDGING CORPORATION OF INDIA,DREDGECORP,INE506A01018
BSE,DSP BlackRock Mutual Fund,LIQUIDETF,INF740KA1EU7
BSE,DWARIKESH SUGAR INDUSTRIES LTD,DWARKESH,INE366A01041
BSE,DYNACONS SYSTEMS & SOLUTIONS L,DSSL,INE417B01040
BSE,DYNAMATIC TECHNOLOGIES LTD.,DYNAMATECH,INE221B01012
BSE,DYNEMIC PRODUCTS LTD.,DYNPRO,INE256H01015
BSE,Devyani International Limited,DEVYANI,INE872J01023
BSE,Dhunseri Ventures Limited,DVL,INE477B01010
BSE,Digicontent Limited,DGCONTENT,INE03JI01017
BSE,Diligent Media Corporation Lim,DNAMEDIA,INE016M01021
BSE,Dilip Buildcon Limited,DBL,INE917M01012
BSE,Dishman Carbogen Amcis Limited,DCAL,INE385W01011
BSE,Dixon Technologies (India) Lim,DIXON,INE935N01020
BSE,Dollar Industries Limited,DOLLAR,INE325C01035
BSE,Dr. Lal Pathlabs Limited,LALPATHLAB,INE600L01024
BSE,Ducon Infratechnologies Ltd,DUCON,INE741L01018
BSE,E-Land Apparel Limited,ELAND,INE311H01018
BSE,E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,INE126A01031
